,Id,Probability
0,0,0.36878514
1,1,0.3485336
2,2,0.31069803
3,3,0.74754363
4,4,0.60210717
5,5,0.15418547
6,6,0.5033373
7,7,0.5515557
8,8,0.1273551
9,9,0.83511275
10,10,0.302531
11,11,0.3378604
12,12,0.19801795
13,13,0.68339205
14,14,0.2743507
15,15,0.29303598
16,16,0.1574913
17,17,0.34341717
18,18,0.538338
19,19,0.5237513
20,20,0.194489
21,21,0.07594487
22,22,0.15451536
23,23,0.8330145
24,24,0.4886699
25,25,0.32948303
26,26,0.7435744
27,27,0.09375477
28,28,0.28503728
29,29,0.6979893
30,30,0.34461647
31,31,0.16765466
32,32,0.2808414
33,33,0.29204544
34,34,0.82873154
35,35,0.4435979
36,36,0.46503708
37,37,0.26640657
38,38,0.36507612
39,39,0.51912445
40,40,0.83511275
41,41,0.7934663
42,42,0.37835482
43,43,0.13924554
44,44,0.56048405
45,45,0.10031986
46,46,0.06721637
47,47,0.17809877
48,48,0.37405854
49,49,0.15680456
50,50,0.24016461
51,51,0.21033967
52,52,0.18972403
53,53,0.41241926
54,54,0.368215
55,55,0.54756343
56,56,0.095588446
57,57,0.7677422
58,58,0.6188544
59,59,0.82276034
60,60,0.64197326
61,61,0.08943993
62,62,0.4111362
63,63,0.12582377
64,64,0.45331848
65,65,0.17645636
66,66,0.19839498
67,67,0.76044345
68,68,0.14560431
69,69,0.83511275
70,70,0.15673435
71,71,0.31492
72,72,0.059521914
73,73,0.8325082
74,74,0.31061277
75,75,0.09439203
76,76,0.3275772
77,77,0.6412885
78,78,0.21326715
79,79,0.36655593
80,80,0.3140391
81,81,0.12752447
82,82,0.58097726
83,83,0.09742218
84,84,0.17881185
85,85,0.32686186
86,86,0.60905963
87,87,0.28556877
88,88,0.5180859
89,89,0.6113486
90,90,0.6855135
91,91,0.30915293
92,92,0.18897822
93,93,0.3399117
94,94,0.07059768
95,95,0.8052769
96,96,0.16640711
97,97,0.34590816
98,98,0.38298798
99,99,0.36797118
100,100,0.3587157
101,101,0.34362316
102,102,0.10652813
103,103,0.28814358
104,104,0.8151792
105,105,0.54546046
106,106,0.7467623
107,107,0.1698404
108,108,0.14726064
109,109,0.31636673
110,110,0.5888979
111,111,0.5652384
112,112,0.5156039
113,113,0.7081298
114,114,0.44463125
115,115,0.100441694
116,116,0.16394943
117,117,0.41026098
118,118,0.33687854
119,119,0.1931482
120,120,0.10083163
121,121,0.4885612
122,122,0.34638208
123,123,0.5894033
124,124,0.35170108
125,125,0.23687845
126,126,0.10540393
127,127,0.371503
128,128,0.1520668
129,129,0.59416413
130,130,0.47191587
131,131,0.29580438
132,132,0.14367855
133,133,0.80411243
134,134,0.27870873
135,135,0.18424949
136,136,0.5211308
137,137,0.34280652
138,138,0.10705209
139,139,0.34250596
140,140,0.080061525
141,141,0.2378127
142,142,0.06157717
143,143,0.3208846
144,144,0.43580952
145,145,0.31409407
146,146,0.09619087
147,147,0.83511275
148,148,0.18006003
149,149,0.23097727
150,150,0.103161275
151,151,0.5218085
152,152,0.22605467
153,153,0.1093933
154,154,0.4593805
155,155,0.36135006
156,156,0.5919911
157,157,0.15222958
158,158,0.25682664
159,159,0.39207566
160,160,0.07437879
161,161,0.11764702
162,162,0.24966323
163,163,0.6946855
164,164,0.35134506
165,165,0.40715283
166,166,0.83511275
167,167,0.5320811
168,168,0.83511275
169,169,0.214499
170,170,0.0748668
171,171,0.36254427
172,172,0.35446578
173,173,0.21439931
174,174,0.2501346
175,175,0.737473
176,176,0.45874876
177,177,0.34201062
178,178,0.11837304
179,179,0.0760456
180,180,0.7755009
181,181,0.33110416
182,182,0.2696142
183,183,0.105093
184,184,0.3459171
185,185,0.2962941
186,186,0.26455382
187,187,0.42600277
188,188,0.2974403
189,189,0.4840047
190,190,0.27428198
191,191,0.31105566
